TT,TRƯỜNG ĐẠI HỌC,Loại trường,Học phí
1,Đại học Bách khoa Hà Nội,Công lập,24 – 60 triệu đồng/năm
2,Đại học Đà Nẵng,Công lập,"9,8 – 32 triệu đồng/năm"
3,Đại học Huế,Công lập,"9,8 – 14,3 triệu đồng/năm"
4,Đại học Quốc gia Hà Nội,Công lập,"9,8 – 42 triệu đồng/năm"
5,Đại học Quốc gia thành phố Hồ Chí Minh,Công lập,"9,6 – 80 triệu đồng/năm"
6,Đại học Thái Nguyên,Công lập,"9,8 – 14,3 triệu đồng/năm"
7,Học viện Âm nhạc huế,Công lập,12 triệu đồng/năm
8,Học viện Âm nhạc quốc gia Việt Nam,Công lập,"10,4 – 11,7 triệu đồng/năm"
9,Học viện Báo chí và Tuyên truyền,Công lập,"440,559đ – 1,321,667 đồng/tín chỉ"
10,Học viện Cán bộ thành phố Hồ Chí Minh,Công lập,"9,7 – 11,6 triệu đồng/năm"
11,Học viện Chính sách và Phát triển,Công lập,"9,5 triệu đồng/năm"
12,Học viện Công nghệ bưu chính viễn thông,Công lập,22 – 24 triệu đồng/năm
13,Học viện Dân tộc,Công lập,"240,000 đ – 270,000 đồng/tín chỉ"
14,Học viện Hàng không Việt Nam,Công lập,25 triệu đồng/năm
15,Học viện Ngân hàng,Công lập,"12 – 32,5 triệu đồng/năm"
16,Học viện Ngoại giao,Công lập,"19 – 41,5 triệu đồng/năm"
17,Học viện Nông nghiệp Việt Nam,Công lập,"11,6 – 19,8 triệu đồng/năm"
18,Học viện Phụ nữ Việt Nam,Công lập,"318,000 đ – 400,000 đồng/tín chỉ"
19,Học viện Quản lý giáo dục,Công lập,"9,7 – 11,6 triệu đồng/năm"
20,Học viện Tài chính,Công lập,15 – 45 triệu đồng/năm
21,Học viện Thanh thiếu niên Việt Nam,Công lập,"12,5 triệu đồng/năm"
22,Học viện Toà án,Công lập,"9,7 – 11,6 triệu đồng/năm"
23,Học viện Y Dược học cổ truyền Việt Nam,Công lập,"24,5 triệu đồng/năm"
24,Trường Đại học An Giang,Công lập,"13,5 – 20,9 triệu đồng/năm"
25,Trường Đại học Bà Rịa – Vũng Tàu,Tư thục,"815,000 đ – 1,180,000 đồng/tín chỉ"
26,Trường Đại học Bạc Liêu,Công lập,"9,8 – 11,2 triệu đồng/năm"
27,Trường Đại học Bình Dương,Tư thục,"557,000 – 1,220,000 đồng/tín chỉ"
